CLIMATE_IDENTIFIER,1,2,3,4,5,6,7,8,9,10,11,12
1060845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1060844,438.2,427.8,172.3,87.3,72.8,62.5,83.1,78.5,268.3,319.6,360.4,182.4
1160902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1160H99,349.5,263.7,102.5,59.3,131.3,188.8,62.7,187.5,171.8,131.7,231.0,229.7
1060R0K,252.8,173.4,190.2,175.0,119.2,55.4,75.4,80.4,146.2,129.0,146.2,113.0
1091174,95.1,88.1,27.4,21.5,110.2,88.5,113.4,75.4,65.2,32.7,72.0,62.0
1141460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1061458,276.0,330.6,287.6,268.4,135.2,94.6,76.8,132.4,444.4,338.2,515.0,151.6
1161662,44.7,41.800000000000004,16.1,4.8,23.7,77.1,10.4,29.4,16.8,4.6,11.6,31.5
1161663,74.4,69.1,28.8,13.0,37.3,56.1,40.5,50.4,35.2,26.7,62.7,80.2
1021830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1152106,95.7,14.600000000000001,29.8,29.5,44.3,97.1,25.7,102.5,29.8,48.5,66.9,94.2
1182289,40.4,62.6,24.3,76.5,122.9,56.1,52.599999999999994,73.7,81.3,39.5,33.3,16.7
119BLM0,96.3,124.4,59.9,45.8,45.7,66.2,65.6,145.1,58.1,26.3,44.6,55.6
1192341,54.3,46.300000000000004,71.0,37.6,49.6,80.0,71.9,157.8,64.9,21.6,21.400000000000002,23.6
1102415,460.4,244.6,232.1,115.1,117.7,83.9,32.1,40.9,156.6,247.4,517.4,332.6
1032731,686.9,347.1,395.4,229.7,242.4,146.2,21.8,7.7,27.3,144.7,188.9,283.2
1192948,111.6,75.7,45.7,53.3,92.4,146.5,140.4,119.8,26.3,23.8,79.9,30.3
1183001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1173209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1173220,86.3,70.0,46.7,420.9,28.599999999999998,58.7,62.0,86.1,60.6,26.0,122.3,118.0
1063303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1063461,143.8,174.4,130.4,70.2,101.6,69.8,28.400000000000002,82.0,204.2,190.8,209.0,141.6
1063496,40.6,103.60000000000001,196.4,108.2,63.0,108.0,59.0,99.2,212.4,174.6,189.8,55.4
1113543,292.4,379.0,219.7,139.0,109.8,124.1,41.2,10.6,6.4,181.9,139.5,210.5
10459NN,378.2,165.4,243.2,152.6,112.6,129.8,18.4,42.0,254.0,401.8,525.6,232.0
1163781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1163842,36.8,69.7,5.6000000000000005,6.0,29.0,36.5,39.9,31.5,28.3,20.6,57.9,61.0
1123996,56.4,33.7,19.8,14.0,28.8,81.8,12.7,48.0,27.1,45.9,73.4,59.3
1123939,47.1,28.2,21.6,15.6,30.3,82.0,14.1,39.4,27.5,48.8,70.3,32.4
1054222,187.4,209.2,202.8,123.0,77.4,73.4,41.4,46.6,0.0,1.8,0.7999999999999999,0.0
1054503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1114738,84.6,40.1,20.4,16.1,14.5,21.5,13.9,7.4,14.299999999999999,15.1,31.3,91.2
1114746,211.6,64.6,50.5,17.5,19.7,19.5,21.9,65.7,92.2,69.6,204.6,160.3
1184793,254.6,169.3,77.4,41.0,107.0,113.9,93.3,50.6,89.3,58.5,145.9,101.7
1184791,115.9,65.2,29.5,9.6,44.5,48.3,57.6,48.3,13.0,13.0,19.0,41.1
1054929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1145297,239.9,176.5,137.1,60.3,106.7,127.5,53.3,54.2,85.6,109.4,267.0,158.9
1015630,386.0,149.7,109.3,139.5,73.2,102.5,19.8,2.5,131.5,177.9,480.4,301.4
1125852,110.7,44.0,23.2,25.7,19.0,79.5,24.5,7.8,10.9,57.1,60.5,71.9
1086081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1086082,342.6,146.8,107.7,73.1,58.0,67.8,30.4,52.9,159.3,182.5,342.8,246.2
1126146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1106178,671.4,483.8,403.3,142.3,169.4,133.7,25.1,68.8,201.6,396.7,570.2,389.1
1036B06,839.8,308.5,372.7,229.0,163.1,91.0,30.5,15.1,231.7,397.1,608.8,475.3
1046395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1046392,493.5,231.8,280.2,144.3,165.7,133.0,32.2,30.7,133.5,248.2,404.5,271.0
1096453,106.7,113.6,44.4,60.3,143.0,75.4,67.4,57.2,80.3,47.2,86.8,69.2
1096454,152.2,159.0,54.9,83.2,129.3,88.8,76.3,57.5,79.8,46.5,105.3,88.4
1096439,80.7,84.5,38.7,61.2,159.4,89.3,81.3,65.9,89.5,47.0,74.2,46.300000000000004
1066482,869.6,950.6,679.0,322.3,243.1,255.4,172.7,410.3,708.4,524.2,526.4,261.5
1126518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112FN0M,76.60000000000001,77.6,27.5,19.2,18.0,42.9,34.8,55.0,38.0,44.3,133.7,109.6
1086558,85.0,45.1,37.2,12.2,35.9,91.4,33.8,45.5,15.6,22.0,38.9,71.5
1096631,127.2,177.9,41.2,59.6,92.1,68.4,65.2,109.0,69.9,36.6,76.6,101.4
1096629,118.9,97.7,40.4,69.8,105.6,75.8,71.7,97.7,81.60000000000001,44.1,66.2,55.4
1176745,288.2,240.70000000000002,148.1,48.0,125.9,101.2,42.5,69.7,81.7,134.7,289.1,155.0
1176755,410.6,264.9,142.8,48.1,114.8,96.4,38.6,68.5,74.8,138.20000000000002,304.4,301.4
1056869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116FRMN,144.5,96.3,33.6,13.6,53.300000000000004,131.7,45.0,28.400000000000002,36.5,55.9,146.8,98.4
1057051,166.1,147.6,85.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1057052,582.7,339.7,283.6,109.6,116.9,90.4,66.3,67.1,281.4,343.9,346.6,161.2
1037090,367.0,307.4,451.0,154.6,170.6,108.0,90.8,82.8,248.0,267.0,237.20000000000002,101.2
1077498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1077501,101.3,130.9,46.800000000000004,33.1,64.0,83.2,85.4,59.6,93.0,67.4,129.2,66.1
1077499,69.5,94.0,54.1,33.1,66.60000000000001,78.7,90.7,66.6,100.9,71.4,118.0,35.2
1037553,443.6,412.0,253.0,60.800000000000004,103.2,71.60000000000001,19.0,29.6,170.8,200.0,135.4,87.8
1157635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1157631,56.3,38.4,51.6,43.0,35.1,38.0,31.799999999999997,87.0,16.9,70.3,126.3,102.0
10476F0,887.7,486.7,406.0,303.6,209.1,182.3,34.2,23.1,363.4,631.3,744.0,648.9
1067741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1088015,52.5,15.4,19.0,2.5,6.7,16.4,15.5,32.4,40.8,32.0,33.7,51.8
1068134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1038210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1108446,541.3,343.5,296.4,168.8,141.6,105.2,28.5,48.5,213.7,396.8,549.4,348.7
1108395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1108380,306.3,233.5,203.4,129.9,105.3,93.1,24.0,41.4,163.3,230.8,367.2,293.8
1128582,92.2,53.5,28.0,16.9,47.1,108.7,50.199999999999996,31.0,29.1,58.2,128.7,83.0
1018611,256.0,204.8,130.8,77.0,52.8,43.4,17.2,7.0,93.8,216.4,357.2,195.8
1018633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1018621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1018598,239.8,172.7,85.3,80.3,44.1,46.1,15.9,4.6,92.1,187.4,357.9,249.1
1148705,325.3,126.3,85.9,49.9,62.9,121.6,24.2,56.3,54.2,113.1,183.8,188.3
1108824,773.6,445.1,382.9,239.6,188.9,154.6,28.9,62.8,284.2,293.6,622.9,484.5
1100875,537.7,213.7,187.3,114.7,109.3,92.2,40.1,62.8,189.0,278.0,475.0,346.4
1048899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1108910,250.0,143.4,166.6,67.6,101.60000000000001,59.4,12.0,10.8,2.4,98.2,140.6,139.4
1098941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
